Home_Team,Stadium,Season,num
Arizona Cardinals,State Farm Stadium,2018,8
Arizona Cardinals,State Farm Stadium,2019,8
Arizona Cardinals,Univeristy of Phoenix,2009,1
Arizona Cardinals,Univeristy of Phoenix,2010,1
Arizona Cardinals,Univeristy of Phoenix,2011,1
Arizona Cardinals,Univeristy of Phoenix,2012,1
Arizona Cardinals,Univerity of Phoenix Stadium,2015,1
Arizona Cardinals,University of Phoeinx Stadium,2016,1
Arizona Cardinals,University of Phoenix,2007,7
Arizona Cardinals,University of Phoenix,2008,8
Arizona Cardinals,University of Phoenix,2009,7
Arizona Cardinals,University of Phoenix,2010,3
Arizona Cardinals,University of Phoenix,2011,2
Arizona Cardinals,University of Phoenix,2012,2
Arizona Cardinals,University of Phoenix,2013,7
Arizona Cardinals,University of Phoenix,2014,8
Arizona Cardinals,University of Phoenix,2015,4
Arizona Cardinals,University Of Phoenix,2010,1
Arizona Cardinals,University Of Phoenix,2012,1
Arizona Cardinals,University of Phoenix Stadium,2007,1
Arizona Cardinals,University of Phoenix Stadium,2010,2
Arizona Cardinals,University of Phoenix Stadium,2011,5
Arizona Cardinals,University of Phoenix Stadium,2012,4
Arizona Cardinals,University of Phoenix Stadium,2013,1
Arizona Cardinals,University of Phoenix Stadium,2015,2
Arizona Cardinals,University of Phoenix Stadium,2016,7
Arizona Cardinals,University of Phoenix Stadium,2017,8
Arizona Cardinals,University of Phoenix Statium,2010,1
Arizona Cardinals,Unviversity of Phoenix Stadium,2015,1
Atlanta Falcons,Geogia Dome,2013,1
Atlanta Falcons,Georgia Dome,2007,3
Atlanta Falcons,Georgia Dome,2008,2
Atlanta Falcons,Georgia Dome,2009,5
Atlanta Falcons,Georgia Dome,2010,7
Atlanta Falcons,Georgia Dome,2011,8
Atlanta Falcons,Georgia Dome,2012,8
Atlanta Falcons,Georgia Dome,2013,7
Atlanta Falcons,Georgia Dome,2014,7
Atlanta Falcons,Georgia Dome,2015,8
Atlanta Falcons,Georgia Dome,2016,8
Atlanta Falcons,Mercedes-Benz Dome,2017,1
Atlanta Falcons,Mercedes-Benz Stadium,2017,7
Atlanta Falcons,Mercedes-Benz Stadium,2018,8
Atlanta Falcons,Mercedes-Benz Stadium,2019,8
Atlanta Falcons,The Georgia Dome,2007,5
Atlanta Falcons,The Georgia Dome,2008,5
Atlanta Falcons,The Georgia Dome,2009,3
Atlanta Falcons,The Georgia Dome,2010,1
Atlanta Falcons,The GEORGIA Dome,2008,1
Atlanta Falcons,Wembley,2014,1
Baltimore Ravens,M & T Bank Stadium,2007,2
Baltimore Ravens,M & T Bank Stadium,2011,2
Baltimore Ravens,M & T Bank Stadium,2016,2
Baltimore Ravens,M & T Bank Stadium,2017,1
Baltimore Ravens,M&T Bank Stadium,2007,5
Baltimore Ravens,M&T Bank Stadium,2008,8
Baltimore Ravens,M&T Bank Stadium,2009,7
Baltimore Ravens,M&T Bank Stadium,2010,7
